Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,10μF,
C4,0805,1,100nF,
D1,0805,1,LED_GREEN_0805,
D2,0805,1,LED_RED_0805,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_14P,
"J2, J4",PinSocket_1x15_P2.54mm_Vertical,2,Conn_01x15_Socket,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J5,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J6,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x08_Socket,
"NEXT_BUTTON1, PREVIOUS_BUTTON1",SW_SPST_PTS645Sx43SMTR92,2,SW_Push,
ON-OFF_SWITCH1,SW_SPDT_CK_JS102011SAQN,1,SW_SPDT,
"R1, R2",0805,2,"5,1kΩ",
"R10, R6, R7, R8, R9",0805,5,10kΩ,
"R3, R4",0805,2,1kΩ,
R5,0805,1,"1,2kΩ",
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,TP4056-42-ESOP8,
