Designator,Mid X,Mid Y,Rotation,Layer
C1,174.25,-88.11,270.0,top
C2,156.75,-100.11,0.0,top
C3,187.505,-101.005,0.0,top
C4,187.505,-104.005,0.0,top
D1,174.75,-96.61,0.0,top
D2,174.75,-93.11,0.0,top
J1,167.0,-78.5,180.0,top
J2,149.5,-125.78,0.0,top
J3,150.5,-91.61,180.0,top
J4,174.9,-125.78,0.0,top
J5,204.555,-93.3375,270.0,top
J6,133.75,-96.5,0.0,top
NEXT_BUTTON1,205.5,-132.0,0.0,top
ON-OFF_SWITCH1,185.25,-87.4,270.0,top
PREVIOUS_BUTTON1,138.02,-132.0,0.0,top
R1,168.28,-85.86,270.0,top
R10,206.155,-103.0925,270.0,top
R2,165.28,-85.86,270.0,top
R3,168.75,-102.11,90.0,top
R4,165.75,-102.11,90.0,top
R5,160.75,-98.11,180.0,top
R6,200.655,-102.5925,0.0,top
R7,194.155,-102.5925,0.0,top
R8,201.5,-83.0925,270.0,top
R9,205.0,-83.005,270.0,top
U1,166.68,-94.36,180.0,top
